UniProt ID,Gene,Protein Name,Panel
Q9NQ30,ESM1,Endothelial cell-specific molecule 1,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Oncology II"
P56159,GFRA1,GDNF family receptor alpha-1,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Neurology"
P04275,VWF,von Willebrand factor,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III"
Q14508,WFDC2,WAP four-disulfide core domain protein 2,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology II"
P07711,CTSL,Procathepsin L,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II"
P07339,CTSD,Cathepsin D,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III"
P30530,AXL,Tyrosine-protein kinase receptor UFO,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III"
Q9UBR2,CTSZ,Cathepsin Z,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III"
P80188,LCN2,Neutrophil gelatinase-associated lipocalin,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
P01034,CST3,Cystatin-C,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
P02745,C1QA,Complement C1q subcomponent subunit A,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Oncology III"
P53634,CTSC,Dipeptidyl peptidase 1,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Neurology"
Q9NZC2,TREM2,Triggering receptor expressed on myeloid cells 2,"Explore HT assay library, Olink Explore Inflammation, Flex assay library"
Q99538,LGMN,Legumain,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Development"
P10636,MAPT,Microtubule-associated protein tau,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
P07196,NEFL,Neurofilament light polypeptide,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
P09104,ENO2,Gamma-enolase,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Metabolism"
P25774,CTSS,Cathepsin S,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
P28799,GRN,Progranulin,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Cardiovascular III"
P05089,ARG1,Arginase-1,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Immuno-Oncology, Olink Target 96 Metabolism"
O75354,ENTPD6,Ectonucleoside triphosphate diphosphohydrolase 6,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cell Regulation, Olink Target 96 Organ Damage"
P36269,GGT5,Glutathione hydrolase 5 proenzyme,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
O60760,HPGDS,Hematopoietic prostaglandin D synthase,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Organ Damage"
P09874,PARP1,Poly [ADP-ribose] polymerase 1,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Cardiovascular II"
Q12805,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
Q15661,TPSAB1,Tryptase alpha/beta-1,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Immune Response"
Q96GW7,BCAN,Brevican core protein,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
Q13444,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Neuro Exploratory"
P49747,COMP,Cartilage oligomeric matrix protein,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
Q9UMF0,ICAM5,Intercellular adhesion molecule 5,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Oncology III"
P09486,SPARC,SPARC,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology II"
P07478,PRSS2,Trypsin-2,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
P31997,CEACAM8,Carcinoembryonic antigen-related cell adhesion molecule 8,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II"
P12644,BMP4,Bone morphogenetic protein 4,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
P12830,CDH1,Cadherin-1,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
P13688,CEACAM1,Carcinoembryonic antigen-related cell adhesion molecule 1,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology II"
P01033,TIMP1,Metalloproteinase inhibitor 1,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
P06756,ITGAV,Integrin alpha-V,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology II"
Q92752,TNR,Tenascin-R,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
P21810,BGN,Biglycan,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Cell Regulation"
Q15113,PCOLCE,Procollagen C-endopeptidase enhancer 1,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
Q13361,MFAP5,Microfibrillar-associated protein 5,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
P07585,DCN,Decorin,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology"
P31431,SDC4,Syndecan-4,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Metabolism"
P04085,PDGFA,Platelet-derived growth factor subunit A,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III"
O15232,MATN3,Matrilin-3,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
P09958,FURIN,Furin,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology II"
P08254,MMP3,Stromelysin-1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Cardiovascular III"
P02462,COL4A1,Collagen alpha-1(IV) chain,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cell Regulation"
P13598,ICAM2,Intercellular adhesion molecule 2,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III"
Q9Y624,F11R,Junctional adhesion molecule A,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Cardiovascular III"
P23284,PPIB,Peptidyl-prolyl cis-trans isomerase B,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Development"
P19438,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Cardiovascular III"
P06734,FCER2,Low affinity immunoglobulin epsilon Fc receptor,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
P05362,ICAM1,Intercellular adhesion molecule 1,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
P14778,IL1R1,Interleukin-1 receptor type 1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Cardiovascular III"
Q13651,IL10RA,Interleukin-10 receptor subunit alpha,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Inflammation"
P27930,IL1R2,Interleukin-1 receptor type 2,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Cardiovascular III"
P33681,CD80,T-lymphocyte activation antigen CD80,"Explore HT assay library, Olink Explore Cardiometabolic II, Flex assay library"
P20333,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Cardiovascular III"
Q08334,IL10RB,Interleukin-10 receptor subunit beta,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Inflammation"
P13501,CCL5,C-C motif chemokine 5,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
Q02790,FKBP4,Peptidyl-prolyl cis-trans isomerase FKBP4,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Metabolism"
P02760,AMBP,Protein AMBP,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Cardiovascular II"
P16860,NPPB,Natriuretic peptides B,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II"
P17813,ENG,Endoglin,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
P12104,FABP2,"Fatty acid-binding protein, intestinal","Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II"
Q99988,GDF15,Growth/differentiation factor 15,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III"
Q9UJM8,HAO1,2-Hydroxyacid oxidase 1,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Cardiovascular II"
P14543,NID1,Nidogen-1,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
P10451,SPP1,Osteopontin,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III"
P13726,F3,Tissue factor,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Cardiovascular II"
Q15582,TGFBI,Transforming growth factor-beta-induced protein ig-h3,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
Q96H15,TIMD4,T-cell immunoglobulin and mucin domain-containing protein 4,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
Q99727,TIMP4,Metalloproteinase inhibitor 4,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Cardiovascular III"
Q6EMK4,VASN,Vasorin,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
P47992,XCL1,Lymphotactin,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Cardiovascular II"
P08670,VIM,Vimentin,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Oncology II"
P26842,CD27,CD27 antigen,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Immuno-Oncology, Olink Target 96 Oncology II"
P50225,SULT1A1,Sulfotransferase 1A1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Inflammation"
O95727,CRTAM,Cytotoxic and regulatory T-cell molecule,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Immuno-Oncology, Olink Target 96 Neurology"
Q8WXI7,MUC16,Mucin-16,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Immuno-Oncology, Olink Target 96 Oncology II"
Q13261,IL15RA,Interleukin-15 receptor subunit alpha,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Inflammation"
Q9NZQ7,CD274,Programmed cell death 1 ligand 1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation"
P55773,CCL23,C-C motif chemokine 23,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation"
P25942,CD40,Tumor necrosis factor receptor superfamily member 5,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation"
P01732,CD8A,T-cell surface glycoprotein CD8 alpha chain,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation"
P29965,CD40LG,CD40 ligand,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology"
Q8NFP4,MDGA1,MAM domain-containing glycosylphosphatidylinositol anchor protein 1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
P30044,PRDX5,"Peroxiredoxin-5, mitochondrial","Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Immune Response"
Q9NQ76,MEPE,Matrix extracellular phosphoglycoprotein,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Cardiovascular III"
P63241,EIF5A,Eukaryotic translation initiation factor 5A-1,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Immune Response"
P14317,HCLS1,Hematopoietic lineage cell-specific protein,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Immune Response"
Q5KU26,COLEC12,Collectin-12,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Development"
O43291,SPINT2,Kunitz-type protease inhibitor 2,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Development"
P23229,ITGA6,Integrin alpha-6,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Immune Response"
Q9HBG7,LY9,T-lymphocyte surface antigen Ly-9,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Oncology II"
Q15109,AGER,Advanced glycosylation end product-specific receptor,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Cardiovascular II"
Q7Z6M3,MILR1,Allergin-1,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Immune Response"
Q9H4D0,CLSTN2,Calsyntenin-2,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Metabolism"
Q9NQ25,SLAMF7,SLAM family member 7,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Cardiovascular II"
Q14773,ICAM4,Intercellular adhesion molecule 4,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Oncology III"
O14773,TPP1,Tripeptidyl-peptidase 1,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Development"
Q6UWV6,ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Metabolism"
P06127,CD5,T-cell surface glycoprotein CD5,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation"
P00749,PLAU,Urokinase-type plasminogen activator,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Cardiovascular III, Olink Target 96 Inflammation"
P42574,CASP3,Caspase-3,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III"
Q99062,CSF3R,Granulocyte colony-stimulating factor receptor,"Explore HT assay library, Olink Explore Inflammation II, Flex assay library"
P40222,TXLNA,Alpha-taxilin,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Oncology II"
P24158,PRTN3,Myeloblastin,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III"
P06748,NPM1,Nucleophosmin,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
P25786,PSMA1,Proteasome subunit alpha type-1,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Organ Damage"
O75475,PSIP1,PC4 and SFRS1-interacting protein,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Immune Response"
O00233,PSMD9,26S proteasome non-ATPase regulatory subunit 9,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology III"
Q06323,PSME1,Proteasome activator complex subunit 1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
P08727,KRT19,"Keratin, type I cytoskeletal 19","Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Immune Response"
P14780,MMP9,Matrix metalloproteinase-9,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Cardiovascular III"
